r,ion_rate
1.280827694e+00,9.379788155e-02
1.282678898e+00,9.497663472e-02
1.284530103e+00,9.616590738e-02
1.286381307e+00,9.736291727e-02
1.288232511e+00,9.857380556e-02
1.290186560e+00,9.979375361e-02
1.292037765e+00,1.010246597e-01
1.293991814e+00,1.022661025e-01
1.295843018e+00,1.035198953e-01
1.297797067e+00,1.047833101e-01
1.299751116e+00,1.060585705e-01
1.301705165e+00,1.073419377e-01
1.303659214e+00,1.086360848e-01
1.305613263e+00,1.099429966e-01
1.307670157e+00,1.112597472e-01
1.309624206e+00,1.125825152e-01
1.311681099e+00,1.139196130e-01
1.313737993e+00,1.152673163e-01
1.315794887e+00,1.166223083e-01
1.317851780e+00,1.179900970e-01
1.319908674e+00,1.193702227e-01
1.321965568e+00,1.207555226e-01
1.324022461e+00,1.221517592e-01
1.326182200e+00,1.235582887e-01
1.328239093e+00,1.249714646e-01
1.330398832e+00,1.263963379e-01
1.332558570e+00,1.278305789e-01
1.334718308e+00,1.292750916e-01
1.336878047e+00,1.307274717e-01
1.339140630e+00,1.321900770e-01
1.341300368e+00,1.336604134e-01
1.343460107e+00,1.351410826e-01
1.345722690e+00,1.366328682e-01
1.347985273e+00,1.381315771e-01
1.350247856e+00,1.396361630e-01
1.352510439e+00,1.411512367e-01
1.354773022e+00,1.426737082e-01
1.357138450e+00,1.442049086e-01
1.359401033e+00,1.457439506e-01
1.361766460e+00,1.472871602e-01
1.364029043e+00,1.488463453e-01
1.366394471e+00,1.504066144e-01
1.368759899e+00,1.519782724e-01
1.371228171e+00,1.535596317e-01
1.373593599e+00,1.551465153e-01
1.375959027e+00,1.567335132e-01
1.378427299e+00,1.583309870e-01
1.380895572e+00,1.599380599e-01
1.383363844e+00,1.615537736e-01
1.385832116e+00,1.631727249e-01
1.388300389e+00,1.648024258e-01
1.390768661e+00,1.664328571e-01
1.393339778e+00,1.680716110e-01
1.395910895e+00,1.697081822e-01
1.398379168e+00,1.713599800e-01
1.400950285e+00,1.730167921e-01
1.403624247e+00,1.746768899e-01
1.406195364e+00,1.763442666e-01
1.408766481e+00,1.780177914e-01
1.411440443e+00,1.797013367e-01
1.414114404e+00,1.813771686e-01
1.416788366e+00,1.830664941e-01
1.419462328e+00,1.847619547e-01
1.422136290e+00,1.864567286e-01
1.424810252e+00,1.881618246e-01
1.427587058e+00,1.898688701e-01
1.430363864e+00,1.915761347e-01
1.433037826e+00,1.932898202e-01
1.435917477e+00,1.950087776e-01
1.438694284e+00,1.967290897e-01
1.441471090e+00,1.984516830e-01
1.444350742e+00,2.001750937e-01
1.447230393e+00,2.019102256e-01
1.450007199e+00,2.036433060e-01
1.452989695e+00,2.053872872e-01
1.455869346e+00,2.071292611e-01
1.458748997e+00,2.088693581e-01
1.461731493e+00,2.106175052e-01
1.464713989e+00,2.123710087e-01
1.467696485e+00,2.141196439e-01
1.470678981e+00,2.158704453e-01
1.473661476e+00,2.176309549e-01
1.476746817e+00,2.193874223e-01
1.479729313e+00,2.211506548e-01
1.482814653e+00,2.229084838e-01
1.485899994e+00,2.246763961e-01
1.489088179e+00,2.264431918e-01
1.492173520e+00,2.282038242e-01
1.495361705e+00,2.299722613e-01
1.498447045e+00,2.317471352e-01
1.501635230e+00,2.335155413e-01
1.504926260e+00,2.352838523e-01
1.508114446e+00,2.370561925e-01
1.511405475e+00,2.388304120e-01
1.514593661e+00,2.406109221e-01
1.517884691e+00,2.423813645e-01
1.521278565e+00,2.441575440e-01
1.524569595e+00,2.459318094e-01
1.527963470e+00,2.477116211e-01
1.531254499e+00,2.494797804e-01
1.534648374e+00,2.512658954e-01
1.538042249e+00,2.530367525e-01
1.541538968e+00,2.548162624e-01
1.544932842e+00,2.565897305e-01
1.548429562e+00,2.583722901e-01
1.551926281e+00,2.601488075e-01
1.555525845e+00,2.619209327e-01
1.559022564e+00,2.636973483e-01
1.562622128e+00,2.654696173e-01
1.566118847e+00,2.672398379e-01
1.569821256e+00,2.690132945e-01
1.573420820e+00,2.707925296e-01
1.577020384e+00,2.725646778e-01
1.580722792e+00,2.743320458e-01
1.584425201e+00,2.761089823e-01
1.588127610e+00,2.778778018e-01
1.591932863e+00,2.796363820e-01
1.595635272e+00,2.814043724e-01
1.599440525e+00,2.831756851e-01
1.603245778e+00,2.849411016e-01
1.607153876e+00,2.867038503e-01
1.610959130e+00,2.884647060e-01
1.614867228e+00,2.902246961e-01
1.618775326e+00,2.919767464e-01
1.622683423e+00,2.937324242e-01
1.626694366e+00,2.954959544e-01
1.630602464e+00,2.972520575e-01
1.634613407e+00,2.989987434e-01
1.638727194e+00,3.007545147e-01
1.642738137e+00,3.024972218e-01
1.646851924e+00,3.042523245e-01
1.650965712e+00,3.059821274e-01
1.655079499e+00,3.077364276e-01
1.659193286e+00,3.094768016e-01
1.663409918e+00,3.112150599e-01
1.667626550e+00,3.129423778e-01
1.671843182e+00,3.146727715e-01
1.676162659e+00,3.164198449e-01
1.680379291e+00,3.181341079e-01
1.684698768e+00,3.198619765e-01
1.689121089e+00,3.215944663e-01
1.693440566e+00,3.233210105e-01
1.697862887e+00,3.250398141e-01
1.702285209e+00,3.267489712e-01
1.706707530e+00,3.284734597e-01
1.711232696e+00,3.301850530e-01
1.715757862e+00,3.318815088e-01
1.720283029e+00,3.335983192e-01
1.724808195e+00,3.353061755e-01
1.729436205e+00,3.370031120e-01
1.734064216e+00,3.387067885e-01
1.738692227e+00,3.404061561e-01
1.743320238e+00,3.420995771e-01
1.748051093e+00,3.437745206e-01
1.752781949e+00,3.454713729e-01
1.757512804e+00,3.471685867e-01
1.762346504e+00,3.488418135e-01
1.767180204e+00,3.505116591e-01
1.772013905e+00,3.521986832e-01
1.776950449e+00,3.538573609e-01
1.781784150e+00,3.555304740e-01
1.786823539e+00,3.572056160e-01
1.791760084e+00,3.588649689e-01
1.796799473e+00,3.605291354e-01
1.801838863e+00,3.621833534e-01
1.806878252e+00,3.638370613e-01
1.811917642e+00,3.654888604e-01
1.817059876e+00,3.671397665e-01
1.822304955e+00,3.687708980e-01
1.827447189e+00,3.704125434e-01
1.832692268e+00,3.720587378e-01
1.837937347e+00,3.736821157e-01
1.843182426e+00,3.753228862e-01
1.848530349e+00,3.769505859e-01
1.853878273e+00,3.785657704e-01
1.859329041e+00,3.801922137e-01
1.864779810e+00,3.818027915e-01
1.870230578e+00,3.834222823e-01
1.875681346e+00,3.850221605e-01
1.881234959e+00,3.866282443e-01
1.886788572e+00,3.882266191e-01
1.892342185e+00,3.898318639e-01
1.897998642e+00,3.914263065e-01
1.903655100e+00,3.930219221e-01
1.909311558e+00,3.945999895e-01
1.915070860e+00,3.961792556e-01
1.920830162e+00,3.977584952e-01
1.926692309e+00,3.993330831e-01
1.932554456e+00,4.009048453e-01
1.938416603e+00,4.024722923e-01
1.944278750e+00,4.040303816e-01
1.950243742e+00,4.056012130e-01
1.956208734e+00,4.071512549e-01
1.962276570e+00,4.087016979e-01
1.968344406e+00,4.102487784e-01
1.974412243e+00,4.117947457e-01
1.980582924e+00,4.133333333e-01
1.986753605e+00,4.148694184e-01
1.992924286e+00,4.163988310e-01
1.999197811e+00,4.179283486e-01
2.005471337e+00,4.194498681e-01
2.011847708e+00,4.209697755e-01
2.018224078e+00,4.224833379e-01
2.024600448e+00,4.239912429e-01
2.031079663e+00,4.255012229e-01
2.037558879e+00,4.270046906e-01
2.044038094e+00,4.285000492e-01
2.050620153e+00,4.299966130e-01
2.057305058e+00,4.314842790e-01
2.063887118e+00,4.329704089e-01
2.070572022e+00,4.344525642e-01
2.077359771e+00,4.359282423e-01
2.084147520e+00,4.374016802e-01
2.090935270e+00,4.388693662e-01
2.097825863e+00,4.403308560e-01
2.104716457e+00,4.417923316e-01
2.111607051e+00,4.432475956e-01
2.118600490e+00,4.447001883e-01
2.125696773e+00,4.461487224e-01
2.132793056e+00,4.475855386e-01
2.139889339e+00,4.490237159e-01
2.146985622e+00,4.504621072e-01
2.154287595e+00,4.518940631e-01
2.161486723e+00,4.533125409e-01
2.168788695e+00,4.547314787e-01
2.176090668e+00,4.561487478e-01
2.183495485e+00,4.575630919e-01
2.190900302e+00,4.589682335e-01
2.198407964e+00,4.603725267e-01
2.205915626e+00,4.617687650e-01
2.213526133e+00,4.631614692e-01
2.221136639e+00,4.645546013e-01
2.228849991e+00,4.659415539e-01
2.236563342e+00,4.673199890e-01
2.244276693e+00,4.686939883e-01
2.252092889e+00,4.700629411e-01
2.260011930e+00,4.714371618e-01
2.267828126e+00,4.727902858e-01
2.275850011e+00,4.741521195e-01
2.283871897e+00,4.755025374e-01
2.291893782e+00,4.768531553e-01
2.300018512e+00,4.781950581e-01
2.308143242e+00,4.795411673e-01
2.316370817e+00,4.808690745e-01
2.324598392e+00,4.822053843e-01
2.332928811e+00,4.835342890e-01
